"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of creation/publication","Publisher","Date of creation/publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes","Provenance","Referenced in"
"004.6","016115497","Monograph","Language material ; Text","Online resource","","","","Bejleri, Andi","","person","","Imperial College, London [organisation] ; Bejleri, Andi [person]","Parameterised session types : communication patterns through the looking glass of session types","","","","United Kingdom","","Imperial College London ; University of London Press","2012","","1 online resource","550830","","","English","","",""
"005","009136348","Monograph","Language material ; Text","Online resource","","","","Sturdy, J. C G.","","person","","Sturdy, J. C G. [person]","A LISP through the looking glass","","","","","","University of Bath","1991","","","292829","Computer software ; Programming language interpreters ; Computer software & programming","","English","","",""
"070.449951","015118285","Monograph","Language material ; Text","Volume","GBA940781","","9789622099821","French, Paul","1966-","person","","French, Paul, 1966- [person]","Through the looking glass : China's foreign journalists from opium wars to Mao","","","","China ; England ; Hong Kong","London","Eurospan ; Hong Kong University Press","2009","","1 volume, illustrations, 23 cm","","China--Press coverage ; Foreign correspondents--China--History","","English","","",""
"100","009814404","Monograph","Language material ; Text","Online resource","","","","Harvey, Mark Peter","","person","","Harvey, Mark Peter [person]","Self-contradiction : the paradoxes of desire explored through the looking glass of Lacan","","","","","","University of Kent at Canterbury","1997","","","311272","Lacanian theory ; Philosophy ; Religion ; Psychology","","","","",""
"100","012353971","Monograph","Language material ; Text","Volume","","","9781898248040","Morgan, W. J","","person","","University of Nottingham, Centre for Research into the Education of Adults [organisation] ; Morgan, W. J [person]","Through the looking glass : Marxism; ideology and education revisited","","Occasional paper","","","","University of Nottingham, Centre for Research into the Education of Adults","1994","","","q94/21107","Philosophy ; Religion ; Education & training","","","","",""
"113","016481158","Monograph","Language material ; Text","Volume","GBB5D5965","","9780992614409","Mackenzie (Stuart)","","person","author","Mackenzie (Stuart), author [person]","Through the looking glass : the road map to eternity","","","","United Kingdom","","Stuart Mackenzie Publishing","2013","","xi, 204 pages, 23 cm","YKL.2014.a.5140","Philosophy of nature ; Cosmology","","English","","",""
"121","014693227","Monograph","Language material ; Text","Volume","","","9788889130247 ; 9788889130292","Sini, Carlo","1933-","person","","Sini, Carlo, 1933- [person]","Il segreto di Alice e altri saggi","Segreto di Alice","Pragmata : l'economia deel vero","4 [Pragmata : l'economia deel vero]","Italy","Milano","Albo versorio","2006","","146 pages, 21 cm","YF.2009.a.9084","Carroll, Lewis, 1832-1898 ; Philosophy","","Italian","Collected writings, mostly already published in the periodicals Paradosso and Oltrecorrente","",""
"133.581582","006134634","Monographic component part","Language material ; Text","Volume","","","9780877287216","Idemon, Richard","","person","","Sasportas, Howard [person] ; Idemon, Richard [person]","Through the looking glass : a search for the self in the mirror of relationships","","","","United States of America","York Beach, Maine","S. Weiser","1992","","","8239.457200","Interpersonal relations--Miscellanea ; Astrology","","English","","",""
"133.581582","015497596","Monograph","Language material ; Text","Volume","GBB164005","","9781902405445","Idemon, Richard","","person","","Sasportas, Howard [person] ; Idemon, Richard [person]","Through the looking glass : a search for the self in the mirror of relationships","","","","England","Bournemouth","Wessex Astrologer","2010","","264 pages, illustrations, 22 cm","YK.2011.a.11738","Interpersonal relations--Miscellanea ; Astrology","","English","'First published in 1992 by Samuel Weiser'--T.p. verso","",""
"133.9013","017703970","Monograph","Language material ; Text","Volume","GBB606509","","9780956500946","Caddick, Candace","","person","author","Caddick, Candace, author [person]","Stepping through the looking glass : life on the other side","","","","England","Redhill","Brightstone Publishing","2016","","xii, 175 pages, 22 cm","YKL.2017.a.5637","Future life","","English","","",""
